dataset,tasks,workers,truths,classes,labels,mv_accuracy,ds_accuracy,ptbcc_accuracy,ds_seconds,ptbcc_seconds,ds_iterations,ptbcc_iterations,ptbcc_max_delta,source
CF,300,461,300,5,1720,0.9,0.83,0.8933333333333333,0.04708742396906018,0.09922310593537986,64,74,0.0009693983855380006,external/active-crowd-toolkit/Data/CF.csv
MS,700,44,700,10,2945,0.71,0.7685714285714286,0.7942857142857143,0.3563618869520724,0.08019107487052679,200,33,0.0009603336933053652,external/active-crowd-toolkit/Data/MS.csv
Dog,807,109,807,4,8070,0.8178438661710037,0.8426270136307311,0.8240396530359355,0.04488721792586148,0.23652000911533833,27,59,0.0009830664548045043,external/crowd_truth_datasets/datasets/s4_Dog data/answer.csv + truth.csv
Face,584,27,584,4,5242,0.6301369863013698,0.6404109589041096,0.6558219178082192,0.1015065941028297,0.1051592759322375,87,38,0.0009430425583781266,external/crowd_truth_datasets/datasets/s4_Face Sentiment Identification/answer.csv + truth.csv
Adult,11040,825,333,4,89799,0.7597597597597597,0.7387387387387387,0.7717717717717718,3.610386110842228,1.729386379942298,200,38,0.0009956938717621266,external/crowd_truth_datasets/datasets/s5_AdultContent/answer.csv + truth.csv
Web,2665,177,2653,5,15567,0.7764794572182435,0.819449679607991,0.819449679607991,0.7994918918702751,0.4383549359627068,200,53,0.0009788926682339216,"external/SpectralMethodsMeetEM/src/web_{crowd,truth}.txt"
