dataset,prototype,truth_class,observed_class,probability
CF,0,0,0,0.9333392560702033
CF,0,0,1,0.025064611802580124
CF,0,0,2,0.01757747605809293
CF,0,0,3,0.016832332622798936
CF,0,0,4,0.007186323446324725
CF,0,1,0,0.0470613104326553
CF,0,1,1,0.8369227216886304
CF,0,1,2,0.06985489506255972
CF,0,1,3,0.03782596752434278
CF,0,1,4,0.008335105291811746
CF,0,2,0,0.02304184107052236
CF,0,2,1,0.05873252496372781
CF,0,2,2,0.9002574429659698
CF,0,2,3,0.01398633815836279
CF,0,2,4,0.003981852841417312
CF,0,3,0,0.017098281025536767
CF,0,3,1,0.03296417946605833
CF,0,3,2,0.009258765633831227
CF,0,3,3,0.9364528531017291
CF,0,3,4,0.004225920772844559
CF,0,4,0,0.11772700381881378
CF,0,4,1,0.2271192817784607
CF,0,4,2,0.060646908679626056
CF,0,4,3,0.17178161183905138
CF,0,4,4,0.42272519388404817
CF,1,0,0,0.2518705858496107
CF,1,0,1,0.36426471738739047
CF,1,0,2,0.047445453254229476
CF,1,0,3,0.19882394901060282
CF,1,0,4,0.1375952944981666
CF,1,1,0,0.11879496178004116
CF,1,1,1,0.5065342165170065
CF,1,1,2,0.08574369530000216
CF,1,1,3,0.15986997291107427
CF,1,1,4,0.12905715349187583
CF,1,2,0,0.08808447793521368
CF,1,2,1,0.12940331502281294
CF,1,2,2,0.40601954045557354
CF,1,2,3,0.2408838047828305
CF,1,2,4,0.13560886180356926
CF,1,3,0,0.021294410038725228
CF,1,3,1,0.10355759814074754
CF,1,3,2,0.06931287368661601
CF,1,3,3,0.7170240499899289
CF,1,3,4,0.08881106814398232
CF,1,4,0,0.22359789495857826
CF,1,4,1,0.19701367928676286
CF,1,4,2,0.04334104180983023
CF,1,4,3,0.21272586061591042
CF,1,4,4,0.32332152332891817
MS,0,1,1,0.8573997564985103
MS,0,1,2,0.007524105112721118
MS,0,1,3,0.0056572210003846815
MS,0,1,4,0.05576986881972895
MS,0,1,5,0.004590084352107581
MS,0,1,6,0.0038886478438489762
MS,0,1,7,0.04460961012087552
MS,0,1,8,0.009449405950009187
MS,0,1,9,0.004297966417918026
MS,0,1,10,0.006813333883895596
MS,0,2,1,0.004434340825225943
MS,0,2,2,0.8947277342242617
MS,0,2,3,0.011769020788595963
MS,0,2,4,0.006981114633231972
MS,0,2,5,0.007672355820885564
MS,0,2,6,0.0050436486337941625
MS,0,2,7,0.03742810199506448
MS,0,2,8,0.02258403579296914
MS,0,2,9,0.003259183947851531
MS,0,2,10,0.006100463338119548
MS,0,3,1,0.005541922319822404
MS,0,3,2,0.005757512240584206
MS,0,3,3,0.8411368189751307
MS,0,3,4,0.1037037458526786
MS,0,3,5,0.005358677465714306
MS,0,3,6,0.011521724164470372
MS,0,3,7,0.00829753240038698
MS,0,3,8,0.007001400825650159
MS,0,3,9,0.0025584144166087524
MS,0,3,10,0.009122251338953388
MS,0,4,1,0.02492247135678649
MS,0,4,2,0.00529868055816036
MS,0,4,3,0.027412515938184837
MS,0,4,4,0.7830558170896503
MS,0,4,5,0.010126872979337708
MS,0,4,6,0.07795461963799193
MS,0,4,7,0.018871812153929902
MS,0,4,8,0.005384661664451885
MS,0,4,9,0.0045656918374177985
MS,0,4,10,0.04240685678408859
MS,0,5,1,0.005580292024842914
MS,0,5,2,0.02894830127584123
MS,0,5,3,0.004803543929937753
MS,0,5,4,0.0485886276594306
MS,0,5,5,0.8696438764783327
MS,0,5,6,0.010753259239215312
MS,0,5,7,0.008705625220352873
MS,0,5,8,0.007980695247928242
MS,0,5,9,0.00621510854812705
MS,0,5,10,0.008780670375991208
MS,0,6,1,0.012053439307449005
MS,0,6,2,0.01085508243041291
MS,0,6,3,0.012646575378289625
MS,0,6,4,0.06238846801484678
MS,0,6,5,0.005854660109239703
MS,0,6,6,0.7560526739129998
MS,0,6,7,0.021795921414631367
MS,0,6,8,0.0034631153345052903
MS,0,6,9,0.10990768112652283
MS,0,6,10,0.004982382971102656
MS,0,7,1,0.09606005976558465
MS,0,7,2,0.05118276140622054
MS,0,7,3,0.011948643137141618
MS,0,7,4,0.033652978657491936
MS,0,7,5,0.028534676819791955
MS,0,7,6,0.008636781916941188
MS,0,7,7,0.7460093514272735
MS,0,7,8,0.006368411417756242
MS,0,7,9,0.011886272744490481
MS,0,7,10,0.005720062707307827
MS,0,8,1,0.006405043061449207
MS,0,8,2,0.006625191747828585
MS,0,8,3,0.005209649413787181
MS,0,8,4,0.006401406572999128
MS,0,8,5,0.005814606285579798
MS,0,8,6,0.004608396524521301
MS,0,8,7,0.004470228875116366
MS,0,8,8,0.9522637650155673
MS,0,8,9,0.004580853437675371
MS,0,8,10,0.0036208590654757495
MS,0,9,1,0.011596298683486855
MS,0,9,2,0.006784612853723192
MS,0,9,3,0.006088030970260084
