dataset,S,extra_init,seed,accuracy,iterations
CF,2,none,20260715,0.8933333333333333,74
CF,3,uniform_matrix,20260715,0.8666666666666667,57
CF,3,Dirichlet(1),20260715,0.8966666666666666,37
CF,3,Dirichlet(1),20260716,0.8766666666666667,48
CF,3,Dirichlet(1),20260717,0.86,126
CF,4,Dirichlet(1),20260715,0.89,45
CF,4,Dirichlet(1),20260716,0.8733333333333333,57
CF,4,Dirichlet(1),20260717,0.8666666666666667,56
MS,2,none,20260715,0.7942857142857143,33
MS,3,uniform_matrix,20260715,0.7928571428571428,41
MS,3,Dirichlet(1),20260715,0.7957142857142857,37
MS,3,Dirichlet(1),20260716,0.7957142857142857,142
MS,3,Dirichlet(1),20260717,0.7928571428571428,49
MS,4,Dirichlet(1),20260715,0.7957142857142857,42
MS,4,Dirichlet(1),20260716,0.79,75
MS,4,Dirichlet(1),20260717,0.79,50
Dog,2,none,20260715,0.8240396530359355,59
Dog,3,uniform_matrix,20260715,0.8240396530359355,62
Dog,3,Dirichlet(1),20260715,0.8265179677819083,47
Dog,3,Dirichlet(1),20260716,0.8029739776951673,50
Dog,3,Dirichlet(1),20260717,0.8252788104089219,45
Dog,4,Dirichlet(1),20260715,0.8339529120198265,37
Dog,4,Dirichlet(1),20260716,0.7980173482032218,29
Dog,4,Dirichlet(1),20260717,0.8228004956629492,54
Face,2,none,20260715,0.6558219178082192,38
Face,3,uniform_matrix,20260715,0.6506849315068494,17
Face,3,Dirichlet(1),20260715,0.648972602739726,21
Face,3,Dirichlet(1),20260716,0.6455479452054794,41
Face,3,Dirichlet(1),20260717,0.6643835616438356,21
Face,4,Dirichlet(1),20260715,0.6421232876712328,21
Face,4,Dirichlet(1),20260716,0.636986301369863,44
Face,4,Dirichlet(1),20260717,0.6592465753424658,21
Adult,2,none,20260715,0.7717717717717718,38
Adult,3,uniform_matrix,20260715,0.7747747747747747,43
Adult,3,Dirichlet(1),20260715,0.7777777777777778,37
Adult,3,Dirichlet(1),20260716,0.7537537537537538,117
Adult,3,Dirichlet(1),20260717,0.7597597597597597,67
Adult,4,Dirichlet(1),20260715,0.7777777777777778,142
Adult,4,Dirichlet(1),20260716,0.7627627627627628,71
Adult,4,Dirichlet(1),20260717,0.7657657657657657,74
Web,2,none,20260715,0.819449679607991,53
Web,3,uniform_matrix,20260715,0.813795702977761,71
Web,3,Dirichlet(1),20260715,0.8235959291368262,47
Web,3,Dirichlet(1),20260716,0.8224651338107802,57
Web,3,Dirichlet(1),20260717,0.7949491142103279,56
Web,4,Dirichlet(1),20260715,0.8209574067093856,46
Web,4,Dirichlet(1),20260716,0.8077647945721824,60
Web,4,Dirichlet(1),20260717,0.7810026385224275,70
