dataset,worker,prototype,weight
CF,1,0,0.9314679691529731
CF,1,1,0.06853203084702686
CF,2,0,0.9513513197784058
CF,2,1,0.048648680221594146
CF,4,0,0.09339331125394795
CF,4,1,0.906606688746052
CF,5,0,0.6849135403930624
CF,5,1,0.3150864596069376
CF,12,0,0.5564658287248045
CF,12,1,0.4435341712751954
CF,14,0,0.9513512974700121
CF,14,1,0.048648702529987875
CF,17,0,0.9474506106829907
CF,17,1,0.05254938931700926
CF,19,0,0.9507357267115945
CF,19,1,0.0492642732884055
CF,21,0,0.5422611492676233
CF,21,1,0.45773885073237675
CF,24,0,0.9513513088852479
CF,24,1,0.04864869111475208
CF,27,0,0.9379220504297896
CF,27,1,0.06207794957021039
CF,29,0,0.9513036379776494
CF,29,1,0.048696362022350545
CF,33,0,0.9464848454577217
CF,33,1,0.05351515454227828
CF,36,0,0.9243952618317931
CF,36,1,0.07560473816820694
CF,37,0,0.949030065974681
CF,37,1,0.05096993402531905
CF,38,0,0.6057309836807209
CF,38,1,0.3942690163192792
CF,44,0,0.9474506436369986
CF,44,1,0.052549356363001364
CF,51,0,0.9417108941634676
CF,51,1,0.05828910583653229
CF,52,0,0.9513513088859501
CF,52,1,0.0486486911140498
CF,59,0,0.9417109062362009
CF,59,1,0.05828909376379917
CF,67,0,0.9409842955369148
CF,67,1,0.05901570446308525
CF,71,0,0.3717962380844509
CF,71,1,0.6282037619155492
CF,75,0,0.9427120186203843
CF,75,1,0.05728798137961564
CF,78,0,0.9513513325845838
CF,78,1,0.04864866741541612
CF,84,0,0.9433854066408732
CF,84,1,0.056614593359126844
CF,91,0,0.9444200528162401
CF,91,1,0.055579947183759935
CF,100,0,0.799330797856204
CF,100,1,0.20066920214379594
CF,106,0,0.9441544626534
CF,106,1,0.05584553734660004
CF,110,0,0.9473971115787012
CF,110,1,0.05260288842129879
CF,118,0,0.9438857212525215
CF,118,1,0.05611427874747852
CF,123,0,0.9425569962450275
CF,123,1,0.05744300375497248
CF,131,0,0.9513512974700579
CF,131,1,0.04864870252994205
CF,137,0,0.9347164483978496
CF,137,1,0.06528355160215031
CF,145,0,0.06067399723488232
CF,145,1,0.9393260027651177
CF,148,0,0.9454392674079266
CF,148,1,0.054560732592073495
CF,150,0,0.9513036356064409
CF,150,1,0.04869636439355904
CF,161,0,0.9513513325849389
CF,161,1,0.04864866741506122
CF,164,0,0.06896667521478111
CF,164,1,0.9310333247852189
CF,165,0,0.6180938618684979
CF,165,1,0.38190613813150204
CF,172,0,0.11913148806654893
CF,172,1,0.8808685119334511
CF,173,0,0.940984169384569
CF,173,1,0.05901583061543097
CF,186,0,0.839787896371748
CF,186,1,0.16021210362825192
CF,189,0,0.9513513197785026
CF,189,1,0.04864868022149733
CF,194,0,0.13529523011258085
CF,194,1,0.8647047698874191
CF,196,0,0.06497875011121956
CF,196,1,0.9350212498887803
CF,221,0,0.9512962102354743
CF,221,1,0.048703789764525836
CF,222,0,0.9431893240956111
CF,222,1,0.056810675904389006
CF,236,0,0.949948413541469
CF,236,1,0.050051586458530944
CF,242,0,0.9453409420922402
CF,242,1,0.054659057907759774
CF,246,0,0.9466509893986561
CF,246,1,0.05334901060134395
CF,249,0,0.9310394950494119
CF,249,1,0.0689605049505881
CF,251,0,0.6371314836035207
CF,251,1,0.3628685163964793
CF,255,0,0.9466510244863043
CF,255,1,0.05334897551369566
CF,258,0,0.16344389684527627
CF,258,1,0.8365561031547237
CF,265,0,0.9278024144016902
CF,265,1,0.07219758559830988
CF,269,0,0.9399409343643115
CF,269,1,0.06005906563568846
CF,270,0,0.9462315026814293
CF,270,1,0.05376849731857082
CF,273,0,0.9365096212940165
CF,273,1,0.06349037870598356
CF,275,0,0.6463143979927309
